"LIDNUM"	"NAME"	"MID_AGE"	"MAX_AGE"	"MIN_AGE"	"ORDER"	"FAMILY"	"SUBFAMILY"	"GENUS"	"UNIQUE"
21704	"Saint-Gaudens (Valentine)"	12.025	12.85	11.2	"Artiodactyla"	"Cervidae"	"\N"	"indet."	"-"
23272	"Yaylacilar"	12.025	12.85	11.2	"Artiodactyla"	"Giraffidae"	"\N"	"indet."	"-"
23272	"Yaylacilar"	12.025	12.85	11.2	"Proboscidea"	"indet."	"\N"	"indet."	"-"
23577	"Yenieskihisar"	12.025	12.85	11.2	"Artiodactyla"	"Giraffidae"	"\N"	"indet."	"-"
28760	"Gratkorn"	12.1125	12.2	12.025	"Artiodactyla"	"Palaeomerycidae"	"\N"	"indet."	"-"
28243	"Abocador de Can Mata: C1-E*"	12.373	12.474	12.272	"Primates"	"Hominidae"	"\N"	"indet."	"-"
20169	"Krivoj Rog"	12.55	13.6	11.5	"Perissodactyla"	"Equidae"	"Hipparionini"	"indet."	"-"
21140	"Simpheropol"	12.55	13.6	11.5	"Perissodactyla"	"Equidae"	"Hipparionini"	"indet."	"-"
23445	"Ayibaligi mevkii"	13.525	14.2	12.85	"Artiodactyla"	"Suidae"	"\N"	"indet."	"-"
21072	"Chatzloch"	13.525	14.2	12.85	"Artiodactyla"	"Suidae"	"\N"	"indet."	"-"
24615	"Gisseltshausen 1a"	13.525	14.2	12.85	"Perissodactyla"	"Rhinocerotidae"	"\N"	"indet."	"-"
24615	"Gisseltshausen 1a"	13.525	14.2	12.85	"Artiodactyla"	"Cervidae"	"\N"	"indet."	"Euprox/Heteroprox"
24616	"Gisseltshausen 1b"	13.525	14.2	12.85	"Perissodactyla"	"Rhinocerotidae"	"\N"	"indet."	"-"
27773	"Huggenberg 3"	13.525	14.2	12.85	"Artiodactyla"	"Cervidae"	"\N"	"indet."	"-"
27774	"Hutziker Tobel 670m"	13.525	14.2	12.85	"Artiodactyla"	"Cervidae"	"\N"	"indet."	"-"
20170	"Laimering 2"	13.525	14.2	12.85	"Artiodactyla"	"Cervidae"	"\N"	"indet."	"Euprox/Heteroprox"
20098	"Liet"	13.525	14.2	12.85	"Perissodactyla"	"Rhinocerotidae"	"\N"	"indet."	"-"
20098	"Liet"	13.525	14.2	12.85	"Proboscidea"	"Mammutidae"	"\N"	"indet."	"-"
21361	"Melambes"	13.525	14.2	12.85	"Artiodactyla"	"Bovidae"	"\N"	"indet."	"-"
22362	"Murero"	13.525	14.2	12.85	"Artiodactyla"	"Cervidae"	"\N"	"indet."	"-"
